Distance to Center (arcminutes),Rotational Velocity (km/sec)
53.607748184019364, 315.98062953995156
46.77966101694914, 262.4399059550128
0.14527845036319498, 19.524862266203456
0.14527845036319498, 52.85819559953683
0.14527845036319498, 57.93065936765271
0, 70.25125451801944
0.14527845036319498, 90.53935501982664
0.29055690072639173, 94.8854265361266
0.14527845036319498, 126.04660139663827
0.29055690072639173, 131.1173105940976
0.29055690072639173, 139.08832508685123
0.29055690072639173, 154.30571639119904
0.4358353510895867, 159.37642558865844
0.4358353510895867, 189.08657051619468
2.033898305084744, 190.51654560129134
0.5811138014527835, 194.15727971365408
0.5811138014527835, 199.95438116292945
2.033898305084744, 209.35712531143628
0.8716707021791752, 215.16826332596412
0.4358353510895867, 221.69526616836862
0.5811138014527835, 228.93988840930626
2.3244552058111356, 231.09274660490578
1.888619854721549, 225.30090886760013
2.615012106537529, 216.5964838404043
3.3414043583535094, 210.79060953784608
4.06779661016949, 195.56444538021543
4.50363196125908, 181.7910657262168
3.631961259079903, 157.16391199073587
4.06779661016949, 148.46299610485312
7.845036319612591, 46.968101905463755
7.990314769975788, 73.77794153770571
7.5544794188861975, 78.1310313366319
18.159806295399513, 143.22033898305085
24.987893462469728, 221.39874372740996
22.663438256658594, 266.3543530897989
24.55205811138014, 283.7228480190897
33.559322033898304, 269.1213110151946
40.67796610169491, 262.51359792258836
41.69491525423728, 260.3274028845142
49.539951573849876, 270.3775836052918
51.57384987893462, 263.83128048566516
52.154963680387404, 279.76629118854623
51.719128329297824, 271.07590272660286
52.881355932203384, 268.16331543671265
54.18886198547215, 268.14752430080364
55.93220338983051, 246.38733901814228
59.418886198547206, 264.46117135137035
60.72639225181597, 267.34393094009897
63.4866828087167, 285.4265361266099
63.922518159806295, 236.87054777695903
66.82808716707022, 242.63255781310315
66.97336561743342, 252.7757307786785
66.39225181598063, 222.3479664526091
69.44309927360776, 266.51401901954597
70.8958837772397, 265.771835631821
72.78450363196126, 233.1403305611117
75.2542372881356, 207.7481840193705
78.59564164648911, 225.82377092325513
90.5084745762712, 205.39004105695346
91.67070217917676, 214.79629434677344
93.26876513317191, 217.6755447941889
95.59322033898306, 205.32863108397385
99.66101694915255, 200.20703933747416
102.42130750605328, 248.7244271326807
111.28329297820824, 214.5594273081378
112.3002421307506, 222.51815980629544
